#==================================================
#    Mayadas-Shatzkes Resistivity Calculation
#==================================================
# PARAMETERS
# Option of calculation :  1
# Option of error bar   :  2
# Constant error bar    :      2.00000E-02
#==================================================
# 1- 0 : Debye temperature (K) :                       2.15000E+02
# Limits :     1.95000E+02    2.30000E+02   F   F
#==================================================
# 2- 0 : Residual resistivity (microOhm.cm) :          2.11000E+00
# Limits :     2.00000E+00    1.00000E-02   F   F
#==================================================
# 3- 0 : R - Grain boundary scattering parameter :     3.90000E-01
# Limits :     5.00000E-02    1.50000E-01   F   F
#==================================================
# 4- 0 : p - Interface scattering parameter :          1.00000E+00
# Limits :     7.00000E-01    9.00000E-01   F   F
#==================================================
# 5- 0 : Film thickness (nm) :                         1.00000E+01
# Limits :     4.00000E+00    6.00000E+00   F   F
#==================================================
# 6- 0 : Grain size (nm) :                             1.00000E+01
# Limits :     3.00000E+00    7.00000E+00   F   F
#=======================================================================================
# Reliance factors
# Chi2      :       1.85530E+03
# RBragg    :       5.79284E-02
# RBraggexp :       1.97476E-03
# Goodness  :       2.93344E+01
#=======================================================================================
#                   Temperature      Experimental_Resistivity  Sig_Experimental_Resistivity       Theoretical_Resistivity
               0.3000003967E+03              0.1079427650E+02              0.2000000000E-01              0.1091243645E+02
               0.2999967499E+03              0.1079479160E+02              0.2000000000E-01              0.1091241735E+02
               0.2999971008E+03              0.1079460492E+02              0.2000000000E-01              0.1091241919E+02
               0.2999974060E+03              0.1079419934E+02              0.2000000000E-01              0.1091242079E+02
               0.3000000916E+03              0.1079450188E+02              0.2000000000E-01              0.1091243485E+02
               0.2999972992E+03              0.1079468205E+02              0.2000000000E-01              0.1091242023E+02
               0.2999971466E+03              0.1079464029E+02              0.2000000000E-01              0.1091241943E+02
               0.3000021057E+03              0.1079465641E+02              0.2000000000E-01              0.1091244540E+02
               0.3000001373E+03              0.1079466609E+02              0.2000000000E-01              0.1091243509E+02
               0.2999992523E+03              0.1079476254E+02              0.2000000000E-01              0.1091243046E+02
               0.2999976501E+03              0.1079436994E+02              0.2000000000E-01              0.1091242207E+02
               0.2999974518E+03              0.1079480756E+02              0.2000000000E-01              0.1091242103E+02
               0.3000000916E+03              0.1079449228E+02              0.2000000000E-01              0.1091243485E+02
               0.2999985046E+03              0.1079436026E+02              0.2000000000E-01              0.1091242654E+02
               0.2999994507E+03              0.1079427019E+02              0.2000000000E-01              0.1091243150E+02
               0.2999986572E+03              0.1079453074E+02              0.2000000000E-01              0.1091242734E+02
               0.2999994049E+03              0.1079439562E+02              0.2000000000E-01              0.1091243126E+02
               0.2999987946E+03              0.1079420899E+02              0.2000000000E-01              0.1091242806E+02
               0.2999981995E+03              0.1079443432E+02              0.2000000000E-01              0.1091242495E+02
               0.2999993134E+03              0.1079418009E+02              0.2000000000E-01              0.1091243078E+02
               0.2999981995E+03              0.1079412214E+02              0.2000000000E-01              0.1091242495E+02
               0.3000002441E+03              0.1079424114E+02              0.2000000000E-01              0.1091243565E+02
               0.2999999084E+03              0.1079460484E+02              0.2000000000E-01              0.1091243389E+02
               0.3000016632E+03              0.1079427670E+02              0.2000000000E-01              0.1091244308E+02
               0.3000012054E+03              0.1079460818E+02              0.2000000000E-01              0.1091244069E+02
               0.2999971008E+03              0.1079406427E+02              0.2000000000E-01              0.1091241919E+02
               0.2999978943E+03              0.1079395150E+02              0.2000000000E-01              0.1091242335E+02
               0.2999981995E+03              0.1079429917E+02              0.2000000000E-01              0.1091242495E+02
               0.2999989471E+03              0.1079416715E+02              0.2000000000E-01              0.1091242886E+02
               0.2999973602E+03              0.1079407054E+02              0.2000000000E-01              0.1091242055E+02
               0.2999953003E+03              0.1079408352E+02              0.2000000000E-01              0.1091240976E+02
               0.2999996948E+03              0.1079409638E+02              0.2000000000E-01              0.1091243278E+02
               0.3000014496E+03              0.1079429278E+02              0.2000000000E-01              0.1091244196E+02
               0.3000012970E+03              0.1079431195E+02              0.2000000000E-01              0.1091244117E+02
               0.2999974060E+03              0.1079437637E+02              0.2000000000E-01              0.1091242079E+02
               0.3000048065E+03              0.1079396436E+02              0.2000000000E-01              0.1091245954E+02
               0.3000052948E+03              0.1079420256E+02              0.2000000000E-01              0.1091246210E+02
               0.2999971924E+03              0.1079418644E+02              0.2000000000E-01              0.1091241967E+02
